annotation,start,end,duration,type
Partic_MID,1667366774.321031,1667366776.001031,1.679999828338623,spi
Partic_RC,1667366774.345031,1667366775.985031,1.6399998664855957,spi
Partic_LC,1667366774.457031,1667366775.937031,1.4800000190734863,spi
Partic_RT,1667366774.793031,1667366775.953031,1.1600000858306885,spi
Partic_RC,1667366794.629031,1667366795.789031,1.1600000858306885,spi
Partic_MID,1667366794.633031,1667366795.793031,1.1600000858306885,spi
Partic_RC,1667366797.885031,1667366799.405031,1.5199999809265137,spi
Partic_MID,1667366797.885031,1667366799.365031,1.4800000190734863,spi
Partic_LC,1667366797.949031,1667366799.349031,1.3999998569488525,spi
Partic_RT,1667366798.201031,1667366799.201031,1,spi
Partic_RC,1667366801.953031,1667366802.953031,1,spi
Partic_MID,1667366801.973031,1667366803.013031,1.0399999618530273,spi
Partic_LC,1667366802.013031,1667366803.013031,1,spi
Partic_RC,1667366811.933031,1667366812.933031,1,spi
Partic_RC,1667366819.269031,1667366820.869031,1.5999999046325684,spi
Partic_MID,1667366819.269031,1667366820.869031,1.5999999046325684,spi
Partic_LC,1667366819.305031,1667366820.865031,1.559999942779541,spi
Partic_RC,1667366823.549031,1667366824.909031,1.3599998950958252,spi
Partic_MID,1667366823.549031,1667366824.909031,1.3599998950958252,spi
Partic_LC,1667366823.765031,1667366824.885031,1.119999885559082,spi
Partic_RC,1667366839.613031,1667366840.613031,1,spi
Partic_MID,1667366839.617031,1667366840.617031,1,spi
Partic_LC,1667366839.669031,1667366840.669031,1,spi
Partic_RC,1667366846.481031,1667366848.121031,1.6400001049041748,spi
Partic_MID,1667366846.481031,1667366848.121031,1.6400001049041748,spi
Partic_LC,1667366846.513031,1667366848.113031,1.5999999046325684,spi
Partic_RT,1667366846.757031,1667366847.757031,1,spi
Partic_LC,1667366850.309031,1667366851.509031,1.2000000476837158,spi
Partic_MID,1667366850.309031,1667366851.549031,1.2400000095367432,spi
Partic_RC,1667366850.345031,1667366851.545031,1.2000000476837158,spi
Partic_RC,1667366860.981031,1667366861.981031,1,spi
Partic_MID,1667366860.981031,1667366861.981031,1,spi
Partic_LC,1667366860.985031,1667366861.985031,1,spi
Partic_RC,1667366865.153031,1667366866.713031,1.559999942779541,spi
Partic_MID,1667366865.157031,1667366866.917031,1.7599999904632568,spi
Partic_LC,1667366865.313031,1667366866.553031,1.2400000095367432,spi
Partic_RC,1667366870.037031,1667366871.357031,1.320000171661377,spi
Partic_MID,1667366870.041031,1667366871.361031,1.320000171661377,spi
Partic_LC,1667366870.053031,1667366871.213031,1.1600000858306885,spi
Partic_RT,1667366870.081031,1667366871.121031,1.0399999618530273,spi
Partic_MID,1667366873.917031,1667366875.317031,1.3999998569488525,spi
Partic_RC,1667366873.921031,1667366875.321031,1.4000000953674316,spi
Partic_LC,1667366873.969031,1667366875.329031,1.3599998950958252,spi
Partic_MID,1667366878.961031,1667366879.961031,1,ba
Partic_RC,1667366878.965031,1667366879.965031,1,ba
Partic_LC,1667366879.025031,1667366880.025031,1,ba
Partic_RC,1667366887.833031,1667366889.073031,1.2400000095367432,spi
Partic_LC,1667366887.889031,1667366889.009031,1.1200001239776611,spi
Partic_MID,1667366887.893031,1667366889.093031,1.2000000476837158,spi
Partic_RC,1667366892.473031,1667366893.473031,1,spi
Partic_MID,1667366892.477031,1667366893.477031,1,spi
Partic_LC,1667366892.481031,1667366893.481031,1,spi
Partic_RC,1667366896.429031,1667366897.509031,1.0800001621246338,spi
Partic_MID,1667366896.429031,1667366897.429031,1,spi
Partic_LC,1667366896.437031,1667366897.437031,1,spi
Partic_RT,1667366896.529031,1667366897.529031,1,spi
Partic_RC,1667366902.249031,1667366903.729031,1.4800000190734863,spi
Partic_MID,1667366902.249031,1667366903.689031,1.4399998188018799,spi
Partic_LC,1667366902.309031,1667366903.709031,1.4000000953674316,spi
Partic_RT,1667366902.313031,1667366903.593031,1.2799999713897705,spi
Partic_LT,1667366902.449031,1667366903.729031,1.2799999713897705,spi
Partic_RC,1667366909.349031,1667366910.349031,1,spi
Partic_MID,1667366909.349031,1667366910.349031,1,spi
Partic_LC,1667366909.413031,1667366910.413031,1,spi
Partic_RC,1667366946.893031,1667366948.053031,1.1600000858306885,spi
Partic_MID,1667366946.897031,1667366948.057031,1.1599998474121094,spi
Partic_LC,1667366946.901031,1667366948.061031,1.1600000858306885,spi
Partic_RC,1667366954.453031,1667366955.733031,1.2799999713897705,spi
Partic_MID,1667366954.457031,1667366955.737031,1.2799999713897705,spi
Partic_LC,1667366954.489031,1667366955.609031,1.119999885559082,spi
Partic_RT,1667366954.585031,1667366955.585031,1,spi
Partic_MID,1667366958.785031,1667366960.225031,1.4399998188018799,spi
Partic_RC,1667366958.821031,1667366960.181031,1.3599998950958252,spi
Partic_LC,1667366958.949031,1667366960.109031,1.1599998474121094,spi
Partic_RC,1667366968.273031,1667366969.273031,1,spi
Partic_MID,1667366968.305031,1667366969.305031,1,spi
Partic_LC,1667366968.337031,1667366969.337031,1,spi
Partic_RC,1667366972.709031,1667366973.829031,1.119999885559082,spi
Partic_MID,1667366972.725031,1667366973.845031,1.1200001239776611,spi
Partic_LC,1667366972.813031,1667366973.853031,1.0399999618530273,spi
Partic_RC,1667366980.221031,1667366981.221031,1,spi
Partic_MID,1667366980.221031,1667366981.221031,1,spi
Partic_RC,1667366984.501031,1667366985.501031,1,spi
Partic_MID,1667366984.513031,1667366985.513031,1,spi
Partic_LC,1667366984.585031,1667366985.585031,1,spi
Partic_RT,1667366987.565031,1667366988.565031,1,spi
Partic_RC,1667366987.569031,1667366988.569031,1,spi
Partic_MID,1667366987.569031,1667366988.569031,1,spi
Partic_RC,1667367007.885031,1667367009.285031,1.4000000953674316,spi
Partic_MID,1667367007.885031,1667367009.285031,1.4000000953674316,spi
Partic_LC,1667367008.009031,1667367009.209031,1.2000000476837158,spi
Partic_RC,1667367011.145031,1667367012.505031,1.3600001335144043,spi
Partic_MID,1667367011.145031,1667367012.505031,1.3600001335144043,spi
Partic_LC,1667367011.205031,1667367012.485031,1.2799999713897705,spi
Partic_RT,1667367011.473031,1667367012.473031,1,spi
Partic_RC,1667367015.329031,1667367016.329031,1,spi
Partic_MID,1667367015.333031,1667367016.333031,1,spi
Partic_RC,1667367024.541031,1667367025.541031,1,spi
Partic_MID,1667367024.541031,1667367025.541031,1,spi
Partic_MID,1667367029.017031,1667367030.017031,1,spi
Partic_RC,1667367035.901031,1667367036.941031,1.0399999618530273,spi
Partic_LC,1667367035.905031,1667367036.905031,1,spi
Partic_MID,1667367035.905031,1667367036.905031,1,spi
Partic_RC,1667367038.661031,1667367039.661031,1,spi
Partic_MID,1667367038.709031,1667367039.709031,1,spi
Partic_RC,1667367047.357031,1667367048.957031,1.5999999046325684,spi
Partic_MID,1667367047.389031,1667367048.949031,1.5600001811981201,spi
Partic_LC,1667367047.413031,1667367048.853031,1.4399998188018799,spi
Partic_RT,1667367047.805031,1667367048.805031,1,spi
Partic_RC,1667367051.637031,1667367052.797031,1.1599998474121094,spi
Partic_MID,1667367051.641031,1667367052.801031,1.1600000858306885,spi
Partic_LC,1667367051.705031,1667367052.705031,1,spi
Partic_RT,1667367051.753031,1667367052.753031,1,spi
Partic_RC,1667367061.065031,1667367062.065031,1,spi
Partic_MID,1667367061.065031,1667367062.065031,1,spi
Partic_LC,1667367061.113031,1667367062.113031,1,spi
Partic_RC,1667367066.513031,1667367068.273031,1.7599999904632568,spi
Partic_MID,1667367066.517031,1667367068.037031,1.5199999809265137,spi
Partic_LC,1667367066.597031,1667367068.237031,1.6399998664855957,spi
Partic_RC,1667367074.045031,1667367075.445031,1.3999998569488525,spi
Partic_MID,1667367074.045031,1667367075.445031,1.3999998569488525,spi
Partic_LC,1667367074.201031,1667367075.441031,1.2400000095367432,spi
Partic_LC,1667367084.045031,1667367085.045031,1,ba
Partic_RC,1667367084.045031,1667367085.165031,1.119999885559082,ba
Partic_MID,1667367084.045031,1667367085.165031,1.119999885559082,ba
Partic_MID,1667367094.481031,1667367095.481031,1,spi
Partic_RC,1667367094.485031,1667367095.485031,1,spi
Partic_LC,1667367094.497031,1667367095.497031,1,spi
Partic_MID,1667367118.813031,1667367119.893031,1.0799999237060547,spi
Partic_RC,1667367118.821031,1667367119.901031,1.0799999237060547,spi
Partic_LC,1667367118.937031,1667367119.937031,1,spi
Partic_RT,1667367119.029031,1667367120.029031,1,spi
Partic_MID,1667367126.101031,1667367127.221031,1.119999885559082,spi
Partic_RC,1667367126.113031,1667367127.233031,1.1200001239776611,spi
Partic_LC,1667367126.117031,1667367127.157031,1.0399999618530273,spi
Partic_RC,1667367138.561031,1667367139.561031,1,spi
Partic_MID,1667367138.565031,1667367139.565031,1,spi
Partic_LC,1667367138.621031,1667367139.621031,1,spi
Partic_LC,1667367146.117031,1667367147.117031,1,spi
Partic_RC,1667367146.121031,1667367147.121031,1,ba
Partic_MID,1667367146.121031,1667367147.121031,1,ba
Partic_RC,1667367150.933031,1667367151.933031,1,spi
Partic_MID,1667367150.933031,1667367151.933031,1,spi
Partic_MID,1667367156.369031,1667367157.449031,1.0800001621246338,spi
Partic_RC,1667367156.381031,1667367157.421031,1.0399999618530273,spi
Partic_LC,1667367156.385031,1667367157.425031,1.0399999618530273,spi
Partic_RC,1667367164.109031,1667367165.109031,1,spi
Partic_MID,1667367164.149031,1667367165.149031,1,spi
Partic_LC,1667367164.169031,1667367165.169031,1,spi
Partic_RC,1667367190.865031,1667367191.865031,1,spi
Partic_MID,1667367190.865031,1667367191.865031,1,spi
Partic_LC,1667367190.933031,1667367191.933031,1,spi
Partic_MID,1667367209.365031,1667367210.365031,1,art
Partic_LC,1667367209.369031,1667367210.369031,1,art
Partic_RC,1667367209.369031,1667367210.369031,1,art
Partic_MID,1667367257.313031,1667367258.313031,1,spi
Partic_RC,1667367257.345031,1667367258.345031,1,spi
Partic_LC,1667367257.381031,1667367258.381031,1,spi
Partic_MID,1667367260.325031,1667367261.325031,1,spi
Partic_RC,1667367260.329031,1667367261.329031,1,spi
Partic_LC,1667367260.377031,1667367261.377031,1,spi
Partic_RC,1667367291.305031,1667367292.625031,1.3199999332427979,spi
Partic_MID,1667367291.533031,1667367292.613031,1.0799999237060547,spi
Partic_LC,1667367291.557031,1667367292.557031,1,spi
Partic_RT,1667367291.685031,1667367292.685031,1,spi
Partic_RC,1667367316.317031,1667367317.317031,1,ba
Partic_MID,1667367316.317031,1667367317.317031,1,ba
Partic_LC,1667367316.389031,1667367317.389031,1,ba
Partic_RC,1667367320.109031,1667367321.309031,1.2000000476837158,spi
Partic_MID,1667367320.109031,1667367321.309031,1.2000000476837158,spi
Partic_LC,1667367320.329031,1667367321.329031,1,spi
Partic_MID,1667367334.097031,1667367335.097031,1,spi
Partic_RC,1667367334.101031,1667367335.101031,1,spi
Partic_LC,1667367334.133031,1667367335.133031,1,spi
Partic_RC,1667367343.985031,1667367344.985031,1,spi
Partic_MID,1667367344.045031,1667367345.045031,1,spi
Partic_LC,1667367344.053031,1667367345.053031,1,spi
Partic_MID,1667367354.001031,1667367355.361031,1.3600001335144043,spi
Partic_RC,1667367354.005031,1667367355.365031,1.3599998950958252,spi
Partic_LC,1667367354.049031,1667367355.209031,1.1600000858306885,spi
Partic_RT,1667367354.157031,1667367355.237031,1.0799999237060547,spi
Partic_RC,1667367360.893031,1667367361.893031,1,spi
Partic_MID,1667367378.833031,1667367380.193031,1.3600001335144043,spi
Partic_RC,1667367379.045031,1667367380.165031,1.119999885559082,spi
Partic_LC,1667367379.081031,1667367380.121031,1.0399999618530273,spi
Partic_RC,1667367385.401031,1667367386.401031,1,spi
Partic_MID,1667367385.401031,1667367386.401031,1,spi
Partic_LC,1667367385.409031,1667367386.409031,1,spi
Partic_MID,1667367392.645031,1667367393.765031,1.1200001239776611,spi
Partic_LC,1667367392.661031,1667367393.701031,1.0399999618530273,spi
Partic_RT,1667367392.725031,1667367393.725031,1,spi
Partic_LC,1667367396.845031,1667367397.845031,1,spi
Partic_RC,1667367396.845031,1667367397.845031,1,ba
Partic_MID,1667367396.845031,1667367397.845031,1,ba
Partic_MID,1667367414.773031,1667367415.773031,1,spi
Partic_RC,1667367414.805031,1667367415.805031,1,spi
Partic_RC,1667367430.473031,1667367431.473031,1,spi
Partic_MID,1667367430.473031,1667367431.473031,1,spi
Partic_MID,1667367433.553031,1667367434.913031,1.3600001335144043,ba
Partic_RC,1667367433.557031,1667367434.797031,1.2400000095367432,ba
Partic_LC,1667367433.681031,1667367434.721031,1.0399999618530273,ba
Partic_RC,1667367448.457031,1667367449.777031,1.3199999332427979,spi
Partic_MID,1667367448.461031,1667367449.781031,1.3199999332427979,spi
Partic_LC,1667367448.545031,1667367449.705031,1.1599998474121094,spi
Partic_RC,1667367454.173031,1667367455.173031,1,spi
Partic_MID,1667367454.173031,1667367455.173031,1,spi
Partic_LC,1667367454.181031,1667367455.181031,1,spi
Partic_RC,1667367464.113031,1667367465.313031,1.2000000476837158,spi
Partic_MID,1667367464.113031,1667367465.393031,1.2799999713897705,spi
Partic_LC,1667367464.157031,1667367465.317031,1.1599998474121094,spi
Partic_RT,1667367464.417031,1667367465.417031,1,spi
Partic_RC,1667367472.605031,1667367473.605031,1,spi
Partic_MID,1667367472.605031,1667367473.605031,1,spi
Partic_RC,1667367476.005031,1667367477.005031,1,spi
Partic_MID,1667367476.005031,1667367477.005031,1,spi
Partic_LC,1667367476.041031,1667367477.041031,1,spi
Partic_RT,1667367476.117031,1667367477.117031,1,spi
Partic_RC,1667367503.317031,1667367504.357031,1.0400002002716064,spi
Partic_MID,1667367503.317031,1667367504.317031,1,spi
Partic_RC,1667367506.373031,1667367507.453031,1.0800001621246338,spi
Partic_MID,1667367506.373031,1667367507.453031,1.0800001621246338,spi
Partic_LC,1667367506.441031,1667367507.441031,1,spi
Partic_RC,1667367544.905031,1667367546.625031,1.7200000286102295,spi
Partic_MID,1667367544.929031,1667367546.609031,1.6800000667572021,spi
Partic_LC,1667367544.973031,1667367546.573031,1.5999999046325684,spi
Partic_RC,1667367560.189031,1667367561.269031,1.0800001621246338,spi
Partic_MID,1667367560.189031,1667367561.269031,1.0800001621246338,spi
Partic_LC,1667367560.221031,1667367561.261031,1.0399999618530273,spi
Partic_RC,1667367569.669031,1667367570.669031,1,spi
Partic_MID,1667367569.669031,1667367570.669031,1,ba
Partic_RC,1667367575.605031,1667367576.605031,1,ba
Partic_MID,1667367575.613031,1667367576.613031,1,ba
Partic_LC,1667367575.621031,1667367576.621031,1,spi
Partic_RC,1667367578.349031,1667367579.349031,1,ba
Partic_MID,1667367578.349031,1667367579.349031,1,ba
Partic_LC,1667367578.417031,1667367579.417031,1,ba
Partic_RC,1667367598.193031,1667367599.193031,1,spi
Partic_MID,1667367598.193031,1667367599.193031,1,spi
Partic_RC,1667367613.597031,1667367615.077031,1.4799997806549072,spi
Partic_MID,1667367613.629031,1667367615.069031,1.440000057220459,spi
Partic_LC,1667367613.881031,1667367614.881031,1,spi
Partic_RC,1667367624.973031,1667367626.013031,1.0399999618530273,spi
Partic_MID,1667367624.973031,1667367626.013031,1.0399999618530273,spi
Partic_LC,1667367624.977031,1667367625.977031,1,spi
Partic_RC,1667367628.229031,1667367629.509031,1.2799999713897705,spi
Partic_MID,1667367628.289031,1667367629.529031,1.2400000095367432,spi
Partic_LC,1667367628.293031,1667367629.333031,1.0399999618530273,spi
Partic_RC,1667367647.597031,1667367648.597031,1,ba
Partic_MID,1667367647.597031,1667367648.597031,1,ba
Partic_RC,1667367652.049031,1667367653.049031,1,ba
Partic_MID,1667367652.049031,1667367653.049031,1,ba
Partic_RC,1667367657.765031,1667367658.765031,1,spi
Partic_MID,1667367657.769031,1667367658.769031,1,spi
Partic_RC,1667367677.065031,1667367678.065031,1,spi
Partic_MID,1667367677.065031,1667367678.065031,1,spi
Partic_LC,1667367677.153031,1667367678.153031,1,spi
Partic_RC,1667367682.677031,1667367683.717031,1.0399999618530273,spi
Partic_MID,1667367682.677031,1667367683.717031,1.0399999618530273,spi
Partic_RT,1667367682.733031,1667367683.733031,1,spi
Partic_LC,1667367682.737031,1667367683.737031,1,spi
Partic_MID,1667367687.201031,1667367688.241031,1.0399999618530273,spi
Partic_LC,1667367687.205031,1667367688.205031,1,spi
Partic_RC,1667367687.205031,1667367688.245031,1.0400002002716064,spi
Partic_RC,1667367705.837031,1667367706.837031,1,spi
Partic_MID,1667367705.837031,1667367706.837031,1,spi
Partic_LC,1667367708.985031,1667367709.985031,1,spi
Partic_MID,1667367708.985031,1667367709.985031,1,spi
Partic_RC,1667367709.029031,1667367710.029031,1,spi
Partic_RC,1667367723.421031,1667367724.421031,1,spi
Partic_MID,1667367723.425031,1667367724.425031,1,spi
Partic_RC,1667367737.253031,1667367738.253031,1,spi
Partic_MID,1667367737.313031,1667367738.313031,1,spi
Partic_RC,1667367747.169031,1667367748.409031,1.2400000095367432,spi
Partic_MID,1667367747.169031,1667367748.409031,1.2400000095367432,spi
Partic_LC,1667367747.261031,1667367748.381031,1.1200001239776611,spi
Partic_RC,1667367751.201031,1667367752.201031,1,ba
Partic_MID,1667367751.201031,1667367752.201031,1,ba
Partic_LC,1667367751.301031,1667367752.301031,1,ba
Partic_MID,1667367755.189031,1667367756.389031,1.2000000476837158,spi
Partic_RC,1667367755.245031,1667367756.365031,1.119999885559082,spi
Partic_LC,1667367755.309031,1667367756.389031,1.0799999237060547,spi
Partic_RT,1667367755.317031,1667367756.317031,1,spi
Partic_RC,1667367758.601031,1667367759.601031,1,spi
Partic_MID,1667367758.673031,1667367759.673031,1,spi
Partic_MID,1667367765.249031,1667367766.369031,1.119999885559082,spi
Partic_RC,1667367765.253031,1667367766.373031,1.119999885559082,spi
Partic_LC,1667367765.301031,1667367766.341031,1.0399999618530273,spi
Partic_RT,1667367765.325031,1667367766.325031,1,spi
Partic_LT,1667367765.393031,1667367766.393031,1,spi
Partic_RC,1667367772.425031,1667367773.425031,1,spi
Partic_MID,1667367772.425031,1667367773.425031,1,spi
Partic_LC,1667367772.429031,1667367773.429031,1,spi
Partic_RC,1667367778.317031,1667367779.317031,1,spi
Partic_MID,1667367778.317031,1667367779.317031,1,spi
Partic_MID,1667367795.429031,1667367796.429031,1,spi
Partic_RC,1667367795.497031,1667367796.497031,1,spi
Partic_LC,1667367795.513031,1667367796.513031,1,spi
Partic_MID,1667367810.601031,1667367811.601031,1,ba
Partic_RC,1667367810.637031,1667367811.637031,1,ba
Partic_LC,1667367810.705031,1667367811.705031,1,ba
Partic_MID,1667367846.361031,1667367847.361031,1,spi
Partic_RC,1667367846.365031,1667367847.365031,1,spi
Partic_LC,1667367846.433031,1667367847.433031,1,spi
Partic_RC,1667367874.229031,1667367875.229031,1,ba
Partic_MID,1667367874.233031,1667367875.233031,1,ba
Partic_RC,1667367878.313031,1667367879.313031,1,spi
Partic_MID,1667367878.313031,1667367879.313031,1,spi
Partic_RC,1667367882.913031,1667367883.913031,1,spi
Partic_MID,1667367882.913031,1667367883.913031,1,spi
Partic_LC,1667367883.069031,1667367884.069031,1,spi
Partic_RC,1667367885.933031,1667367886.933031,1,spi
Partic_LC,1667367885.961031,1667367886.961031,1,spi
Partic_MID,1667367885.965031,1667367886.965031,1,spi
Partic_MID,1667367899.993031,1667367900.993031,1,spi
Partic_RC,1667367900.049031,1667367901.049031,1,spi
Partic_LC,1667367900.093031,1667367901.093031,1,spi
Partic_RC,1667367904.281031,1667367905.281031,1,spi
Partic_MID,1667367904.281031,1667367905.281031,1,spi
Partic_RC,1667367911.721031,1667367912.761031,1.0399999618530273,spi
Partic_MID,1667367911.721031,1667367912.761031,1.0399999618530273,spi
Partic_LC,1667367911.725031,1667367912.725031,1,spi
Partic_MID,1667367916.269031,1667367917.269031,1,spi
Partic_RC,1667367916.313031,1667367917.313031,1,spi
Partic_RC,1667367926.241031,1667367927.641031,1.4000000953674316,spi
Partic_MID,1667367926.241031,1667367927.641031,1.4000000953674316,spi
Partic_LC,1667367926.313031,1667367927.593031,1.2799999713897705,spi
Partic_RT,1667367926.689031,1667367927.689031,1,spi
Partic_RC,1667367950.069031,1667367951.109031,1.0399999618530273,spi
Partic_MID,1667367950.069031,1667367951.109031,1.0399999618530273,spi
Partic_LC,1667367950.105031,1667367951.105031,1,spi
Partic_RT,1667367950.181031,1667367951.181031,1,spi
Partic_MID,1667367976.209031,1667367977.209031,1,spi
Partic_RC,1667367976.245031,1667367977.245031,1,spi
Partic_MID,1667367991.137031,1667367992.137031,1,spi
